n_docs,dim,M,ef_construct,ef_search,quant,engine_type,recall_at_10,qps,source
10000,256,24,128,128,none,hnsw,0.99956,4385.3,synthetic
10000,256,24,256,256,none,hnsw,0.9999,2192.65,synthetic
10000,256,24,512,512,none,hnsw,0.9999,1096.32,synthetic
10000,256,32,32,32,none,hnsw,0.924,19122.33,synthetic
10000,256,32,64,64,none,hnsw,0.99422,9561.17,synthetic
10000,256,32,128,128,none,hnsw,0.9999,4780.58,synthetic
10000,256,32,256,256,none,hnsw,0.9999,2390.29,synthetic
10000,256,32,512,512,none,hnsw,0.9999,1195.15,synthetic
10000,256,48,32,32,none,hnsw,0.97905,21595.75,synthetic
10000,256,48,64,64,none,hnsw,0.99956,10797.87,synthetic
10000,256,48,128,128,none,hnsw,0.9999,5398.94,synthetic
10000,256,48,256,256,none,hnsw,0.9999,2699.47,synthetic
10000,256,48,512,512,none,hnsw,0.9999,1349.73,synthetic
10000,384,8,32,32,none,hnsw,0.47495,10300.95,synthetic
10000,384,8,64,64,none,hnsw,0.72432,5150.47,synthetic
10000,384,8,128,128,none,hnsw,0.924,2575.24,synthetic
10000,384,8,256,256,none,hnsw,0.99422,1287.62,synthetic
10000,384,8,512,512,none,hnsw,0.9999,643.81,synthetic
10000,384,12,32,32,none,hnsw,0.61954,11633.35,synthetic
10000,384,12,64,64,none,hnsw,0.85525,5816.67,synthetic
10000,384,12,128,128,none,hnsw,0.97905,2908.34,synthetic
10000,384,12,256,256,none,hnsw,0.99956,1454.17,synthetic
10000,384,12,512,512,none,hnsw,0.9999,727.08,synthetic
10000,384,16,32,32,none,hnsw,0.72432,12681.96,synthetic
10000,384,16,64,64,none,hnsw,0.924,6340.98,synthetic
10000,384,16,128,128,none,hnsw,0.99422,3170.49,synthetic
10000,384,16,256,256,none,hnsw,0.9999,1585.24,synthetic
10000,384,16,512,512,none,hnsw,0.9999,792.62,synthetic
10000,384,24,32,32,none,hnsw,0.85525,14322.33,synthetic
10000,384,24,64,64,none,hnsw,0.97905,7161.16,synthetic
10000,384,24,128,128,none,hnsw,0.99956,3580.58,synthetic
10000,384,24,256,256,none,hnsw,0.9999,1790.29,synthetic
10000,384,24,512,512,none,hnsw,0.9999,895.15,synthetic
10000,384,32,32,32,none,hnsw,0.924,15613.32,synthetic
10000,384,32,64,64,none,hnsw,0.99422,7806.66,synthetic
10000,384,32,128,128,none,hnsw,0.9999,3903.33,synthetic
10000,384,32,256,256,none,hnsw,0.9999,1951.67,synthetic
10000,384,32,512,512,none,hnsw,0.9999,975.83,synthetic
10000,384,48,32,32,none,hnsw,0.97905,17632.86,synthetic
10000,384,48,64,64,none,hnsw,0.99956,8816.43,synthetic
10000,384,48,128,128,none,hnsw,0.9999,4408.21,synthetic
10000,384,48,256,256,none,hnsw,0.9999,2204.11,synthetic
10000,384,48,512,512,none,hnsw,0.9999,1102.05,synthetic
10000,768,8,32,32,none,hnsw,0.47495,7283.87,synthetic
10000,768,8,64,64,none,hnsw,0.72432,3641.94,synthetic
10000,768,8,128,128,none,hnsw,0.924,1820.97,synthetic
10000,768,8,256,256,none,hnsw,0.99422,910.48,synthetic
10000,768,8,512,512,none,hnsw,0.9999,455.24,synthetic
10000,768,12,32,32,none,hnsw,0.61954,8226.02,synthetic
10000,768,12,64,64,none,hnsw,0.85525,4113.01,synthetic
10000,768,12,128,128,none,hnsw,0.97905,2056.5,synthetic
10000,768,12,256,256,none,hnsw,0.99956,1028.25,synthetic
10000,768,12,512,512,none,hnsw,0.9999,514.13,synthetic
10000,768,16,32,32,none,hnsw,0.72432,8967.5,synthetic
10000,768,16,64,64,none,hnsw,0.924,4483.75,synthetic
10000,768,16,128,128,none,hnsw,0.99422,2241.87,synthetic
10000,768,16,256,256,none,hnsw,0.9999,1120.94,synthetic
10000,768,16,512,512,none,hnsw,0.9999,560.47,synthetic
10000,768,24,32,32,none,hnsw,0.85525,10127.42,synthetic
10000,768,24,64,64,none,hnsw,0.97905,5063.71,synthetic
10000,768,24,128,128,none,hnsw,0.99956,2531.85,synthetic
10000,768,24,256,256,none,hnsw,0.9999,1265.93,synthetic
10000,768,24,512,512,none,hnsw,0.9999,632.96,synthetic
10000,768,32,32,32,none,hnsw,0.924,11040.28,synthetic
10000,768,32,64,64,none,hnsw,0.99422,5520.14,synthetic
10000,768,32,128,128,none,hnsw,0.9999,2760.07,synthetic
10000,768,32,256,256,none,hnsw,0.9999,1380.04,synthetic
10000,768,32,512,512,none,hnsw,0.9999,690.02,synthetic
10000,768,48,32,32,none,hnsw,0.97905,12468.31,synthetic
10000,768,48,64,64,none,hnsw,0.99956,6234.16,synthetic
10000,768,48,128,128,none,hnsw,0.9999,3117.08,synthetic
10000,768,48,256,256,none,hnsw,0.9999,1558.54,synthetic
10000,768,48,512,512,none,hnsw,0.9999,779.27,synthetic
50000,128,8,32,32,none,hnsw,0.47495,15187.81,synthetic
50000,128,8,64,64,none,hnsw,0.72432,7593.91,synthetic
50000,128,8,128,128,none,hnsw,0.924,3796.95,synthetic
50000,128,8,256,256,none,hnsw,0.99422,1898.48,synthetic
50000,128,8,512,512,none,hnsw,0.9999,949.24,synthetic
50000,128,12,32,32,none,hnsw,0.61954,17152.31,synthetic
50000,128,12,64,64,none,hnsw,0.85525,8576.15,synthetic
50000,128,12,128,128,none,hnsw,0.97905,4288.08,synthetic
50000,128,12,256,256,none,hnsw,0.99956,2144.04,synthetic
50000,128,12,512,512,none,hnsw,0.9999,1072.02,synthetic
50000,128,16,32,32,none,hnsw,0.72432,18698.39,synthetic
50000,128,16,64,64,none,hnsw,0.924,9349.2,synthetic
50000,128,16,128,128,none,hnsw,0.99422,4674.6,synthetic
50000,128,16,256,256,none,hnsw,0.9999,2337.3,synthetic
50000,128,16,512,512,none,hnsw,0.9999,1168.65,synthetic
50000,128,24,32,32,none,hnsw,0.85525,21116.97,synthetic
50000,128,24,64,64,none,hnsw,0.97905,10558.48,synthetic
50000,128,24,128,128,none,hnsw,0.99956,5279.24,synthetic
50000,128,24,256,256,none,hnsw,0.9999,2639.62,synthetic
50000,128,24,512,512,none,hnsw,0.9999,1319.81,synthetic
50000,128,32,32,32,none,hnsw,0.924,23020.42,synthetic
50000,128,32,64,64,none,hnsw,0.99422,11510.21,synthetic
50000,128,32,128,128,none,hnsw,0.9999,5755.1,synthetic
50000,128,32,256,256,none,hnsw,0.9999,2877.55,synthetic
50000,128,32,512,512,none,hnsw,0.9999,1438.78,synthetic
50000,128,48,32,32,none,hnsw,0.97905,25998.04,synthetic
50000,128,48,64,64,none,hnsw,0.99956,12999.02,synthetic
50000,128,48,128,128,none,hnsw,0.9999,6499.51,synthetic
50000,128,48,256,256,none,hnsw,0.9999,3249.75,synthetic
50000,128,48,512,512,none,hnsw,0.9999,1624.88,synthetic
50000,256,8,32,32,none,hnsw,0.47495,10739.4,synthetic
50000,256,8,64,64,none,hnsw,0.72432,5369.7,synthetic
50000,256,8,128,128,none,hnsw,0.924,2684.85,synthetic
50000,256,8,256,256,none,hnsw,0.99422,1342.43,synthetic
50000,256,8,512,512,none,hnsw,0.9999,671.21,synthetic
50000,256,12,32,32,none,hnsw,0.61954,12128.51,synthetic
50000,256,12,64,64,none,hnsw,0.85525,6064.26,synthetic
50000,256,12,128,128,none,hnsw,0.97905,3032.13,synthetic
50000,256,12,256,256,none,hnsw,0.99956,1516.06,synthetic
50000,256,12,512,512,none,hnsw,0.9999,758.03,synthetic
50000,256,16,32,32,none,hnsw,0.72432,13221.76,synthetic
50000,256,16,64,64,none,hnsw,0.924,6610.88,synthetic
50000,256,16,128,128,none,hnsw,0.99422,3305.44,synthetic
50000,256,16,256,256,none,hnsw,0.9999,1652.72,synthetic
50000,256,16,512,512,none,hnsw,0.9999,826.36,synthetic
50000,256,24,32,32,none,hnsw,0.85525,14931.95,synthetic
50000,256,24,64,64,none,hnsw,0.97905,7465.98,synthetic
50000,256,24,128,128,none,hnsw,0.99956,3732.99,synthetic
50000,256,24,256,256,none,hnsw,0.9999,1866.49,synthetic
50000,256,24,512,512,none,hnsw,0.9999,933.25,synthetic
50000,256,32,32,32,none,hnsw,0.924,16277.89,synthetic
50000,256,32,64,64,none,hnsw,0.99422,8138.95,synthetic
50000,256,32,128,128,none,hnsw,0.9999,4069.47,synthetic
50000,256,32,256,256,none,hnsw,0.9999,2034.74,synthetic
50000,256,32,512,512,none,hnsw,0.9999,1017.37,synthetic
50000,256,48,32,32,none,hnsw,0.97905,18383.39,synthetic
50000,256,48,64,64,none,hnsw,0.99956,9191.69,synthetic
50000,256,48,128,128,none,hnsw,0.9999,4595.85,synthetic
50000,256,48,256,256,none,hnsw,0.9999,2297.92,synthetic
50000,256,48,512,512,none,hnsw,0.9999,1148.96,synthetic
50000,384,8,32,32,none,hnsw,0.47495,8768.69,synthetic
50000,384,8,64,64,none,hnsw,0.72432,4384.34,synthetic
50000,384,8,128,128,none,hnsw,0.924,2192.17,synthetic
50000,384,8,256,256,none,hnsw,0.99422,1096.09,synthetic
50000,384,8,512,512,none,hnsw,0.9999,548.04,synthetic
50000,384,12,32,32,none,hnsw,0.61954,9902.89,synthetic
50000,384,12,64,64,none,hnsw,0.85525,4951.45,synthetic
50000,384,12,128,128,none,hnsw,0.97905,2475.72,synthetic
50000,384,12,256,256,none,hnsw,0.99956,1237.86,synthetic
50000,384,12,512,512,none,hnsw,0.9999,618.93,synthetic
50000,384,16,32,32,none,hnsw,0.72432,10795.52,synthetic
50000,384,16,64,64,none,hnsw,0.924,5397.76,synthetic
50000,384,16,128,128,none,hnsw,0.99422,2698.88,synthetic
50000,384,16,256,256,none,hnsw,0.9999,1349.44,synthetic
50000,384,16,512,512,none,hnsw,0.9999,674.72,synthetic
50000,384,24,32,32,none,hnsw,0.85525,12191.89,synthetic
50000,384,24,64,64,none,hnsw,0.97905,6095.94,synthetic
50000,384,24,128,128,none,hnsw,0.99956,3047.97,synthetic
50000,384,24,256,256,none,hnsw,0.9999,1523.99,synthetic
50000,384,24,512,512,none,hnsw,0.9999,761.99,synthetic
50000,384,32,32,32,none,hnsw,0.924,13290.84,synthetic
50000,384,32,64,64,none,hnsw,0.99422,6645.42,synthetic
50000,384,32,128,128,none,hnsw,0.9999,3322.71,synthetic
50000,384,32,256,256,none,hnsw,0.9999,1661.36,synthetic
50000,384,32,512,512,none,hnsw,0.9999,830.68,synthetic
50000,384,48,32,32,none,hnsw,0.97905,15009.97,synthetic
50000,384,48,64,64,none,hnsw,0.99956,7504.99,synthetic
50000,384,48,128,128,none,hnsw,0.9999,3752.49,synthetic
50000,384,48,256,256,none,hnsw,0.9999,1876.25,synthetic
50000,384,48,512,512,none,hnsw,0.9999,938.12,synthetic
50000,768,8,32,32,none,hnsw,0.47495,6200.4,synthetic
50000,768,8,64,64,none,hnsw,0.72432,3100.2,synthetic
50000,768,8,128,128,none,hnsw,0.924,1550.1,synthetic
50000,768,8,256,256,none,hnsw,0.99422,775.05,synthetic
50000,768,8,512,512,none,hnsw,0.9999,387.52,synthetic
50000,768,12,32,32,none,hnsw,0.61954,7002.4,synthetic
50000,768,12,64,64,none,hnsw,0.85525,3501.2,synthetic
50000,768,12,128,128,none,hnsw,0.97905,1750.6,synthetic
50000,768,12,256,256,none,hnsw,0.99956,875.3,synthetic
50000,768,12,512,512,none,hnsw,0.9999,437.65,synthetic
50000,768,16,32,32,none,hnsw,0.72432,7633.59,synthetic
50000,768,16,64,64,none,hnsw,0.924,3816.79,synthetic
50000,768,16,128,128,none,hnsw,0.99422,1908.4,synthetic
50000,768,16,256,256,none,hnsw,0.9999,954.2,synthetic
50000,768,16,512,512,none,hnsw,0.9999,477.1,synthetic
50000,768,24,32,32,none,hnsw,0.85525,8620.97,synthetic
50000,768,24,64,64,none,hnsw,0.97905,4310.48,synthetic
50000,768,24,128,128,none,hnsw,0.99956,2155.24,synthetic
50000,768,24,256,256,none,hnsw,0.9999,1077.62,synthetic
50000,768,24,512,512,none,hnsw,0.9999,538.81,synthetic
50000,768,32,32,32,none,hnsw,0.924,9398.05,synthetic
50000,768,32,64,64,none,hnsw,0.99422,4699.02,synthetic
50000,768,32,128,128,none,hnsw,0.9999,2349.51,synthetic
50000,768,32,256,256,none,hnsw,0.9999,1174.76,synthetic
50000,768,32,512,512,none,hnsw,0.9999,587.38,synthetic
50000,768,48,32,32,none,hnsw,0.97905,10613.66,synthetic
50000,768,48,64,64,none,hnsw,0.99956,5306.83,synthetic
50000,768,48,128,128,none,hnsw,0.9999,2653.41,synthetic
50000,768,48,256,256,none,hnsw,0.9999,1326.71,synthetic
50000,768,48,512,512,none,hnsw,0.9999,663.35,synthetic
168438,128,8,32,32,none,hnsw,0.47495,13655.01,synthetic
168438,128,8,64,64,none,hnsw,0.72432,6827.5,synthetic
168438,128,8,128,128,none,hnsw,0.924,3413.75,synthetic
168438,128,8,256,256,none,hnsw,0.99422,1706.88,synthetic
168438,128,8,512,512,none,hnsw,0.9999,853.44,synthetic
168438,128,12,32,32,none,hnsw,0.61954,15421.24,synthetic
168438,128,12,64,64,none,hnsw,0.85525,7710.62,synthetic
168438,128,12,128,128,none,hnsw,0.97905,3855.31,synthetic
168438,128,12,256,256,none,hnsw,0.99956,1927.65,synthetic
168438,128,12,512,512,none,hnsw,0.9999,963.83,synthetic
168438,128,16,32,32,none,hnsw,0.72432,16811.29,synthetic
168438,128,16,64,64,none,hnsw,0.924,8405.64,synthetic
168438,128,16,128,128,none,hnsw,0.99422,4202.82,synthetic
168438,128,16,256,256,none,hnsw,0.9999,2101.41,synthetic
168438,128,16,512,512,none,hnsw,0.9999,1050.71,synthetic
168438,128,24,32,32,none,hnsw,0.85525,18985.77,synthetic
168438,128,24,64,64,none,hnsw,0.97905,9492.89,synthetic
168438,128,24,128,128,none,hnsw,0.99956,4746.44,synthetic
168438,128,24,256,256,none,hnsw,0.9999,2373.22,synthetic
168438,128,24,512,512,none,hnsw,0.9999,1186.61,synthetic
168438,128,32,32,32,none,hnsw,0.924,20697.12,synthetic
168438,128,32,64,64,none,hnsw,0.99422,10348.56,synthetic
168438,128,32,128,128,none,hnsw,0.9999,5174.28,synthetic
168438,128,32,256,256,none,hnsw,0.9999,2587.14,synthetic
168438,128,32,512,512,none,hnsw,0.9999,1293.57,synthetic
168438,128,48,32,32,none,hnsw,0.97905,23374.23,synthetic
168438,128,48,64,64,none,hnsw,0.99956,11687.11,synthetic
168438,128,48,128,128,none,hnsw,0.9999,5843.56,synthetic
168438,128,48,256,256,none,hnsw,0.9999,2921.78,synthetic
168438,128,48,512,512,none,hnsw,0.9999,1460.89,synthetic
168438,256,8,32,32,none,hnsw,0.47495,9655.55,synthetic
168438,256,8,64,64,none,hnsw,0.72432,4827.77,synthetic
168438,256,8,128,128,none,hnsw,0.924,2413.89,synthetic
168438,256,8,256,256,none,hnsw,0.99422,1206.94,synthetic
168438,256,8,512,512,none,hnsw,0.9999,603.47,synthetic
168438,256,12,32,32,none,hnsw,0.61954,10904.46,synthetic
168438,256,12,64,64,none,hnsw,0.85525,5452.23,synthetic
168438,256,12,128,128,none,hnsw,0.97905,2726.12,synthetic
168438,256,12,256,256,none,hnsw,0.99956,1363.06,synthetic
168438,256,12,512,512,none,hnsw,0.9999,681.53,synthetic
168438,256,16,32,32,none,hnsw,0.72432,11887.37,synthetic
168438,256,16,64,64,none,hnsw,0.924,5943.69,synthetic
168438,256,16,128,128,none,hnsw,0.99422,2971.84,synthetic
168438,256,16,256,256,none,hnsw,0.9999,1485.92,synthetic
168438,256,16,512,512,none,hnsw,0.9999,742.96,synthetic
168438,256,24,32,32,none,hnsw,0.85525,13424.97,synthetic
168438,256,24,64,64,none,hnsw,0.97905,6712.48,synthetic
168438,256,24,128,128,none,hnsw,0.99956,3356.24,synthetic
168438,256,24,256,256,none,hnsw,0.9999,1678.12,synthetic
168438,256,24,512,512,none,hnsw,0.9999,839.06,synthetic
168438,256,32,32,32,none,hnsw,0.924,14635.07,synthetic
168438,256,32,64,64,none,hnsw,0.99422,7317.54,synthetic
168438,256,32,128,128,none,hnsw,0.9999,3658.77,synthetic
168438,256,32,256,256,none,hnsw,0.9999,1829.38,synthetic
168438,256,32,512,512,none,hnsw,0.9999,914.69,synthetic
168438,256,48,32,32,none,hnsw,0.97905,16528.08,synthetic
168438,256,48,64,64,none,hnsw,0.99956,8264.04,synthetic
168438,256,48,128,128,none,hnsw,0.9999,4132.02,synthetic
168438,256,48,256,256,none,hnsw,0.9999,2066.01,synthetic
168438,256,48,512,512,none,hnsw,0.9999,1033.0,synthetic
168438,384,8,32,32,none,hnsw,0.47495,7883.72,synthetic
168438,384,8,64,64,none,hnsw,0.72432,3941.86,synthetic
168438,384,8,128,128,none,hnsw,0.924,1970.93,synthetic
168438,384,8,256,256,none,hnsw,0.99422,985.47,synthetic
168438,384,8,512,512,none,hnsw,0.9999,492.73,synthetic
168438,384,12,32,32,none,hnsw,0.61954,8903.46,synthetic
168438,384,12,64,64,none,hnsw,0.85525,4451.73,synthetic
168438,384,12,128,128,none,hnsw,0.97905,2225.86,synthetic
168438,384,12,256,256,none,hnsw,0.99956,1112.93,synthetic
168438,384,12,512,512,none,hnsw,0.9999,556.47,synthetic
168438,384,16,32,32,none,hnsw,0.72432,9706.0,synthetic
168438,384,16,64,64,none,hnsw,0.924,4853.0,synthetic
168438,384,16,128,128,none,hnsw,0.99422,2426.5,synthetic
168438,384,16,256,256,none,hnsw,0.9999,1213.25,synthetic
168438,384,16,512,512,none,hnsw,0.9999,606.62,synthetic
168438,384,24,32,32,none,hnsw,0.85525,10961.44,synthetic
168438,384,24,64,64,none,hnsw,0.97905,5480.72,synthetic
168438,384,24,128,128,none,hnsw,0.99956,2740.36,synthetic
168438,384,24,256,256,none,hnsw,0.9999,1370.18,synthetic
168438,384,24,512,512,none,hnsw,0.9999,685.09,synthetic
168438,384,32,32,32,none,hnsw,0.924,11949.49,synthetic
168438,384,32,64,64,none,hnsw,0.99422,5974.74,synthetic
168438,384,32,128,128,none,hnsw,0.9999,2987.37,synthetic
168438,384,32,256,256,none,hnsw,0.9999,1493.69,synthetic
168438,384,32,512,512,none,hnsw,0.9999,746.84,synthetic
168438,384,48,32,32,none,hnsw,0.97905,13495.12,synthetic
168438,384,48,64,64,none,hnsw,0.99956,6747.56,synthetic
168438,384,48,128,128,none,hnsw,0.9999,3373.78,synthetic
168438,384,48,256,256,none,hnsw,0.9999,1686.89,synthetic
168438,384,48,512,512,none,hnsw,0.9999,843.44,synthetic
168438,768,8,32,32,none,hnsw,0.47495,5574.63,synthetic
168438,768,8,64,64,none,hnsw,0.72432,2787.32,synthetic
168438,768,8,128,128,none,hnsw,0.924,1393.66,synthetic
168438,768,8,256,256,none,hnsw,0.99422,696.83,synthetic
168438,768,8,512,512,none,hnsw,0.9999,348.41,synthetic
168438,768,12,32,32,none,hnsw,0.61954,6295.69,synthetic
168438,768,12,64,64,none,hnsw,0.85525,3147.85,synthetic
168438,768,12,128,128,none,hnsw,0.97905,1573.92,synthetic
168438,768,12,256,256,none,hnsw,0.99956,786.96,synthetic
168438,768,12,512,512,none,hnsw,0.9999,393.48,synthetic
168438,768,16,32,32,none,hnsw,0.72432,6863.18,synthetic
168438,768,16,64,64,none,hnsw,0.924,3431.59,synthetic
168438,768,16,128,128,none,hnsw,0.99422,1715.79,synthetic
168438,768,16,256,256,none,hnsw,0.9999,857.9,synthetic
168438,768,16,512,512,none,hnsw,0.9999,428.95,synthetic
168438,768,24,32,32,none,hnsw,0.85525,7750.91,synthetic
168438,768,24,64,64,none,hnsw,0.97905,3875.45,synthetic
168438,768,24,128,128,none,hnsw,0.99956,1937.73,synthetic
168438,768,24,256,256,none,hnsw,0.9999,968.86,synthetic
168438,768,24,512,512,none,hnsw,0.9999,484.43,synthetic
168438,768,32,32,32,none,hnsw,0.924,8449.56,synthetic
168438,768,32,64,64,none,hnsw,0.99422,4224.78,synthetic
168438,768,32,128,128,none,hnsw,0.9999,2112.39,synthetic
168438,768,32,256,256,none,hnsw,0.9999,1056.2,synthetic
168438,768,32,512,512,none,hnsw,0.9999,528.1,synthetic
168438,768,48,32,32,none,hnsw,0.97905,9542.49,synthetic
168438,768,48,64,64,none,hnsw,0.99956,4771.24,synthetic
168438,768,48,128,128,none,hnsw,0.9999,2385.62,synthetic
168438,768,48,256,256,none,hnsw,0.9999,1192.81,synthetic
168438,768,48,512,512,none,hnsw,0.9999,596.41,synthetic
500000,128,8,32,32,none,hnsw,0.47495,12522.8,synthetic
500000,128,8,64,64,none,hnsw,0.72432,6261.4,synthetic
500000,128,8,128,128,none,hnsw,0.924,3130.7,synthetic
500000,128,8,256,256,none,hnsw,0.99422,1565.35,synthetic
500000,128,8,512,512,none,hnsw,0.9999,782.68,synthetic
500000,128,12,32,32,none,hnsw,0.61954,14142.59,synthetic
500000,128,12,64,64,none,hnsw,0.85525,7071.29,synthetic
500000,128,12,128,128,none,hnsw,0.97905,3535.65,synthetic
500000,128,12,256,256,none,hnsw,0.99956,1767.82,synthetic
500000,128,12,512,512,none,hnsw,0.9999,883.91,synthetic
500000,128,16,32,32,none,hnsw,0.72432,15417.38,synthetic
500000,128,16,64,64,none,hnsw,0.924,7708.69,synthetic
500000,128,16,128,128,none,hnsw,0.99422,3854.34,synthetic
500000,128,16,256,256,none,hnsw,0.9999,1927.17,synthetic
500000,128,16,512,512,none,hnsw,0.9999,963.59,synthetic
500000,128,24,32,32,none,hnsw,0.85525,17411.57,synthetic
500000,128,24,64,64,none,hnsw,0.97905,8705.78,synthetic
500000,128,24,128,128,none,hnsw,0.99956,4352.89,synthetic
500000,128,24,256,256,none,hnsw,0.9999,2176.45,synthetic
500000,128,24,512,512,none,hnsw,0.9999,1088.22,synthetic
500000,128,32,32,32,none,hnsw,0.924,18981.02,synthetic
500000,128,32,64,64,none,hnsw,0.99422,9490.51,synthetic
500000,128,32,128,128,none,hnsw,0.9999,4745.25,synthetic
500000,128,32,256,256,none,hnsw,0.9999,2372.63,synthetic
500000,128,32,512,512,none,hnsw,0.9999,1186.31,synthetic
500000,128,48,32,32,none,hnsw,0.97905,21436.16,synthetic
500000,128,48,64,64,none,hnsw,0.99956,10718.08,synthetic
500000,128,48,128,128,none,hnsw,0.9999,5359.04,synthetic
500000,128,48,256,256,none,hnsw,0.9999,2679.52,synthetic
500000,128,48,512,512,none,hnsw,0.9999,1339.76,synthetic
500000,256,8,32,32,none,hnsw,0.47495,8854.96,synthetic
500000,256,8,64,64,none,hnsw,0.72432,4427.48,synthetic
500000,256,8,128,128,none,hnsw,0.924,2213.74,synthetic
500000,256,8,256,256,none,hnsw,0.99422,1106.87,synthetic
500000,256,8,512,512,none,hnsw,0.9999,553.43,synthetic
500000,256,12,32,32,none,hnsw,0.61954,10000.32,synthetic
500000,256,12,64,64,none,hnsw,0.85525,5000.16,synthetic
500000,256,12,128,128,none,hnsw,0.97905,2500.08,synthetic
500000,256,12,256,256,none,hnsw,0.99956,1250.04,synthetic
500000,256,12,512,512,none,hnsw,0.9999,625.02,synthetic
500000,256,16,32,32,none,hnsw,0.72432,10901.73,synthetic
500000,256,16,64,64,none,hnsw,0.924,5450.87,synthetic
500000,256,16,128,128,none,hnsw,0.99422,2725.43,synthetic
500000,256,16,256,256,none,hnsw,0.9999,1362.72,synthetic
500000,256,16,512,512,none,hnsw,0.9999,681.36,synthetic
500000,256,24,32,32,none,hnsw,0.85525,12311.84,synthetic
500000,256,24,64,64,none,hnsw,0.97905,6155.92,synthetic
500000,256,24,128,128,none,hnsw,0.99956,3077.96,synthetic
500000,256,24,256,256,none,hnsw,0.9999,1538.98,synthetic
500000,256,24,512,512,none,hnsw,0.9999,769.49,synthetic
