engine,uc,metric,value,p50,p95,p99,ok,note
LanceDB,UC02_stream_ingest,ms,0,0,0,0,False,arch n/m: = UC01/60k
LanceDB,UC03_bm25_query,ms,0,0,0,0,False,arch n/m: FTS via Tantivy opt-in not loaded
LanceDB,UC05_hybrid,ms,0,0,0,0,False,arch n/m: hybrid via rerank not wired here
LanceDB,UC06_kg_3hop,ms,0,0,0,0,False,arch n/m: no graph
LanceDB,UC07_temporal_filter,ms,0,0,0,0,False,arch n/m: same as UC08
LanceDB,UC10_update_10k,ms,0,0,0,0,False,arch n/m: Lance optimised for append
LanceDB,UC11_delete_compact,ms,0,0,0,0,False,arch n/m: native but time-expensive
LanceDB,UC13_concurrent_read,ms,0,0,0,0,False,"arch n/m: Arrow in-proc, single-conn test"
LanceDB,UC14_concurrent_write,ms,0,0,0,0,False,arch n/m: append-log
LanceDB,UC15_rss_peak,ms,0,0,0,0,False,arch n/m: subprocess required
LanceDB,UC17_recall10,ms,0,0,0,0,False,arch n/m: tbd
LanceDB,UC18_multilingual,ms,0,0,0,0,False,arch n/m: no BM25
LanceDB,UC19_recovery,ms,0,0,0,0,False,"arch n/m: manifest-based, not tested"
LanceDB,UC20_lib_api,ms,0,0,0,0,False,"arch n/m: in-proc ok, tested via UC04"
Qdrant,UC01_bulk_ingest,ms_total,1626.1174579849467,0,0,0,True,
Qdrant,UC04_vec_query,ms,4.574604507070035,4.580542008625343,5.470083007821813,8.990082977106795,True,
Qdrant,UC08_meta_vec,ms,50.21791650506202,50.23304099449888,51.840708998497576,0,True,
Qdrant,UC09_knn_scales,ms,4.587,0,0,0,True,"{""k=10"": 4.587, ""k=100"": 5.088, ""k=1000"": 10.135}"
Qdrant,UC02_stream_ingest,ms,0,0,0,0,False,arch n/m: = UC01/60k
Qdrant,UC03_bm25_query,ms,0,0,0,0,False,arch n/m: not core feature (payload-only)
Qdrant,UC05_hybrid,ms,0,0,0,0,False,arch n/m: not wired here
Qdrant,UC06_kg_3hop,ms,0,0,0,0,False,arch n/m: no graph
Qdrant,UC07_temporal_filter,ms,0,0,0,0,False,arch n/m: = UC08
Qdrant,UC10_update_10k,ms,0,0,0,0,False,arch n/m: upsert test = UC01
Qdrant,UC11_delete_compact,ms,0,0,0,0,False,"arch n/m: supported, not timed"
Qdrant,UC12_cold_start,ms,0,0,0,0,False,"arch n/m: in-mem client, no cold-path"
Qdrant,UC13_concurrent_read,ms,0,0,0,0,False,arch n/m: server mode required
Qdrant,UC14_concurrent_write,ms,0,0,0,0,False,arch n/m: server mode required
Qdrant,UC15_rss_peak,ms,0,0,0,0,False,arch n/m: in-proc embedded via rust binding
Qdrant,UC16_disk_mb,ms,0,0,0,0,False,arch n/m: in-mem only
Qdrant,UC17_recall10,ms,0,0,0,0,False,arch n/m: tbd
Qdrant,UC18_multilingual,ms,0,0,0,0,False,arch n/m: no BM25
Qdrant,UC19_recovery,ms,0,0,0,0,False,arch n/m: in-mem
Qdrant,UC20_lib_api,ms,0,0,0,0,False,arch n/m: native Rust lib-mode; python client adds IPC
Chroma,UC01_bulk_ingest,ms_total,1741.164499981096,0,0,0,True,
Chroma,UC04_vec_query,ms,0.5818540084874257,0.5833750183228403,0.793415994849056,3.2139999966602772,True,
Chroma,UC08_meta_vec,ms,4.881833010585979,4.886916023679078,5.5716250208206475,0,True,
Chroma,UC09_knn_scales,ms,0.531,0,0,0,True,"{""k=10"": 0.531, ""k=100"": 1.56, ""k=1000"": 12.158}"
Chroma,UC16_disk_mb,MB,34.650996,0,0,0,True,
Chroma,UC02_stream_ingest,ms,0,0,0,0,False,arch n/m: =
Chroma,UC03_bm25_query,ms,0,0,0,0,False,arch n/m: no BM25
Chroma,UC05_hybrid,ms,0,0,0,0,False,arch n/m: no BM25
Chroma,UC06_kg_3hop,ms,0,0,0,0,False,arch n/m: no graph
Chroma,UC07_temporal_filter,ms,0,0,0,0,False,arch n/m: =
Chroma,UC10_update_10k,ms,0,0,0,0,False,arch n/m: upsert path
Chroma,UC11_delete_compact,ms,0,0,0,0,False,arch n/m: supported; not timed
Chroma,UC12_cold_start,ms,0,0,0,0,False,arch n/m: = UC01 bootstrap
Chroma,UC13_concurrent_read,ms,0,0,0,0,False,arch n/m: server
Chroma,UC14_concurrent_write,ms,0,0,0,0,False,arch n/m: server
Chroma,UC15_rss_peak,ms,0,0,0,0,False,arch n/m: subprocess
Chroma,UC17_recall10,ms,0,0,0,0,False,arch n/m: tbd
Chroma,UC18_multilingual,ms,0,0,0,0,False,arch n/m: no BM25
Chroma,UC19_recovery,ms,0,0,0,0,False,"arch n/m: sqlite underneath, ok"
Chroma,UC20_lib_api,ms,0,0,0,0,False,arch n/m: in-proc PersistentClient
Meilisearch,UC01_bulk_ingest,ms_total,1334.9397920246702,0,0,0,True,"2k docs cap, status=succeeded"
Meilisearch,UC03_bm25_query,ms,1.1286664957879111,1.1287079832982272,2.5248750171158463,3.4397080016788095,True,
Meilisearch,UC04_vec_query,ms,1.7211460071848705,1.7216670094057918,1.9260419940110296,2.2795830154791474,True,
Meilisearch,UC05_hybrid,ms,2.003103989409283,2.009499992709607,5.467457987833768,0,True,
Meilisearch,UC01_bulk_ingest,ms_total,0,0,0,0,False,err: MeilisearchApiError. Error code: invalid_search_filter. Error message: Index `m`: Attribute `lang` is not filterable. Th
Meilisearch,UC02_stream_ingest,ms,0,0,0,0,False,arch n/m: =
Meilisearch,UC06_kg_3hop,ms,0,0,0,0,False,arch n/m: no graph
Meilisearch,UC07_temporal_filter,ms,0,0,0,0,False,arch n/m: filter ok = UC08
Meilisearch,UC08_meta_vec,ms,0,0,0,0,False,"arch n/m: filter+vec ok, same path as UC04/UC18"
Meilisearch,UC09_knn_scales,ms,0,0,0,0,False,arch n/m: depends on embedder limit
Meilisearch,UC10_update_10k,ms,0,0,0,0,False,arch n/m: upsert path
Meilisearch,UC11_delete_compact,ms,0,0,0,0,False,"arch n/m: supported, not timed"
Meilisearch,UC12_cold_start,ms,0,0,0,0,False,arch n/m: server warm
Meilisearch,UC13_concurrent_read,ms,0,0,0,0,False,arch n/m: needs wrk/hey — tbd
Meilisearch,UC14_concurrent_write,ms,0,0,0,0,False,arch n/m: async task queue
Meilisearch,UC15_rss_peak,ms,0,0,0,0,False,arch n/m: subprocess
Meilisearch,UC16_disk_mb,ms,0,0,0,0,False,arch n/m: server-managed
Meilisearch,UC17_recall10,ms,0,0,0,0,False,arch n/m: tbd
Meilisearch,UC19_recovery,ms,0,0,0,0,False,"arch n/m: LSM, ok"
Meilisearch,UC20_lib_api,ms,0,0,0,0,False,"arch n/m: http-only, +IPC cost"
